video_id,video_title,comment_id,author,comment,likes,published_at,sentiment
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,Ugy77mNqV3jn_Xf_f2x4AaABAg,@mokohardono8859,"Yg benci ya apa aja salah.. 
Yg seneng ya makin seneng... 
Yg nyinyir y dpt bahan.. 
Yg dukung y anggap kesuksesan.. 
Terserah rakyat nusantara aja...",0,2025-12-03T05:33:53Z,neutral
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,UgzY1qxEeVrMeskZ39V4AaABAg,@Muhidin13-kr1zl,Bandung akan miliki kereta pajajaran dgn beaya LBH murah  trs whoosh BS balik modal gak tu 😅😅😅😅😅😅😅,0,2025-12-02T09:48:07Z,neutral
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,UgzlM3ejBnN9PKqB2sB4AaABAg,@MA_Alpha-l4q,SUDAH JELAS GENG SOLO YANG HARUS BERTANGGUNG JAWAB tangkap semua,1,2025-12-01T06:59:37Z,negative
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,UgzcxKsZ3V_n222CvEF4AaABAg,@nurhasanahssi2114,"Jokowi, Luhut, kroni2  yg harus bertanggungjawab dan Bayar hutang WOSH semua, 
Mereka dalang dari kerugian Negara Selama ini,

Inilah akibat OKNUM Presiden dan Pejabat Negara, aparat hukum ygMengikuti Nafsu Setan, terlalu Rakus, licik dan Serakah",0,2025-11-30T01:18:59Z,negative
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,Ugx1UtqOkCAflakGpoh4AaABAg,@omsimon-k6k,Yg ditangkap gorengan yg makan duduk manis,0,2025-11-28T15:56:25Z,neutral
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,Ugz7lA1xVXYLNUEGjEp4AaABAg,@mohammadharriszulfika8486,buat bayar hutang whossh jual saja Aset tentara murah2 ke kemboja,0,2025-11-28T14:11:29Z,negative
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,UgzeBmAExGNOkXuCQO94AaABAg,@isaansyori8749,Pantas saja ngotot bgt lanjut 3 periode ternyata banyak borok yg ditutupi.. Gibran jadi tameng lindungi jokow..!!,1,2025-11-28T13:19:57Z,negative
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,UgwFXYfwTwPKcmE5PCR4AaABAg,@yulihananto1758,Analisa proyek.bukan kebutuhan.tapi keinginan pribadi penguasa,1,2025-11-28T09:32:47Z,negative
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,Ugwcg7DEtXucduhRfRx4AaABAg,@bruiseknee4367,"This train won't make profit for 40 years at least according to statistic and plus they need to maintain operation cost. There's still local train goes 38 times per day which is enough not to use hsr unless you are in hurry. Also, they borrowed money to build so technically it's owned by china. Now is still an exciting phase with tons of propaganda so will see the truth in 1~2 years later. then we know what actually happened. Obviously, 1M passengers in 2 month is too low and debts will be built up for sure. For obvious calculation, whoosh making $300,000.00 debts every month.. They focus on speed in many ways instead of the practicality.  They shouldn't have compromised to make train station in the cities. Also, It's a bit hilarious to know that there is a small shop inside the HSR for 50 min ride going through 4 stations only.. Is it worth it or it's like a roller coaster in an amusement park situation? By the way, has the so called ""technology transfer"" by China been done yet? So Indonesia by themself can continue extending? That's what they agreed right?",0,2025-11-27T21:00:36Z,negative
1_Xrj0mb7K4,Bedah KEGILAAN Project Whoosh,Ugx_SfMbKGUI6o9yYBp4AaABAg,@lalute9905,"“KERETA YANG BERLARI, NEGARA YANG TERSANDUNG”**

Pada suatu masa, di sebuah kerajaan bernama Negeri Janjijaya, tinggal seorang pemimpin yang begitu suka proyek besar—bukan karena ia paham manfaatnya, melainkan karena ia suka melihat wajahnya terpampang di spanduk peresmian.

Namanya singkat saja: Bos.
Dia tak terlalu gemar berpikir panjang; ia hanya suka hal-hal yang bisa membuatnya tampak hebat sesaat.

Di kerajaan itu, ada pula kelompok pengikut setianya, disebut para Termul.
Mereka bukan orang jahat…
mereka lebih buruk dari jahat:
mereka menjilat tanpa otak, membela tanpa logika, dan berteriak paling keras setiap kali Bos sedang salah.

Termul hidup dari kebisingan, bukan dari kebenaran.

Suatu hari, Bos bangun tidur dengan mimpi besar: membuat kereta super cepat.
Kereta yang konon akan membuat kerajaan melompat puluhan tahun ke depan.

Bos berteriak dari balkon istana:

“Kita bangun kereta tercepat di benua ini! Biayanya kecil!
Tanpa uang negara!
Investor luar negeri antre!”

Para Termul langsung bersorak, memukul-mukul dada sendiri seperti gorila yang baru ketemu pisang.

“Betull! Luar biasa! Investor tak terlihat tapi pasti ada!”
Padahal kalau invisibility itu benar, ya bukan investor—tapi hantu.

Pada awalnya, kerajaan lain yang jauh, Jepang, datang menawarkan rencana.
Rencana itu penuh angka, kalkulasi, dan kehati-hatian.
Tapi Bos merasa itu terlalu rumit.
Ia tidak suka hal-hal yang harus dihitung.

Lalu datanglah utusan dari negeri Cina.
Mereka menawarkan konsep yang lebih manis, lebih cepat, dan lebih sedikit instruksi teknis.
Bahkan disebut-sebut tidak akan memakai uang rakyat.

Dan Bos langsung jatuh cinta.
Cinta yang tidak lewat otak, tapi lewat retorika.

Ia pun berkata:

“Kita belok ke Cina saja! Mereka janji semua beres!”

Para Termul bersorak lagi, kali ini lebih keras, karena sudah mulai dapat uang transport dari panitia proyek.

Kereta pun dibangun.
Tanah digusur.
Biaya naik.
Gambar-gambar maket muncul di mana-mana seperti brosur MLM.

Setiap kali biaya membengkak, Bos berkata:

“Itu hal biasa.”

Setiap kali rakyat bertanya investor mana yang antre, para Termul menjawab:

“Banyak! Tapi tidak bisa disebutkan!”

Seakan-akan investor itu seperti pacar imaginary anak SD:
konon cantik, sayang sekali sekolahnya jauh.

Setelah bertahun-tahun, kereta akhirnya selesai.
Kereta ini memang cepat.
Lebih cepat dari akal sehat yang hilang ketika proyek dimulai.

Namun yang lebih cepat lagi adalah kerugian.

Pendapatan jauh dari harapan.
Biaya operasional seperti naga lapar yang makan emas setiap hari.
Utang menggunung.
Dan kerajaan pun mulai mengalirkan uang rakyat untuk menutupinya—pelan, diam-diam, tapi pasti.

Para Termul tetap membela:

“Kerugian itu biasa! Yang penting kereta bisa whoosh!”

Mereka menyebut “visi”, padahal yang mereka lihat cuma slip gaji.

Beberapa waktu kemudian, lembaga pemberantas korupsi mulai menelisik.
Angka-angka tidak cocok.
Biaya tidak wajar.
Hubungan proyek dengan pejabat tampak aneh seperti kucing pakai sepatu.

Dan saat nama Bos mulai disebut-sebut,
tiba-tiba kemampuan alamiahnya muncul:
melupakan segala hal yang ia ciptakan sendiri.

Ketika ditanya, Bos dengan wajah polos berkata:

“Lho? Kok tanya saya?
Saya hanya memulai.
Kalau ujungnya rugi, itu bukan urusan saya lagi.”

Para Termul serempak mengangguk:

“Betul! Bos cuma meresmikan!
Yang salah itu siapa pun, asal bukan Bos!”

Akhirnya, kereta itu tetap melaju setiap hari.
Bukan karena manfaatnya besar,
bukan karena penumpang membludak,
tetapi karena utang harus tetap dicicil, mau tidak mau.

Sementara Bos menikmati masa pensiunnya,
bersantai, memberi ceramah, menulis buku,
dan setiap kali ada yang bertanya:

“Bos, bagaimana dengan kereta yang merugi itu?”

Ia selalu menjawab dengan kalimat yang telah menjadi legenda gelap Negeri Janjijaya:

“Jangan tanya saya.”

Para Termul tepuk tangan.
Rakyat tepuk jidat.

Dan kerajaan terus membayar kerugian proyek yang lahir dari mimpi satu orang,
tapi bebannya dipikul seluruh negeri.",0,2025-11-27T20:23:18Z,negative
